Tract ID,Average Elevation
01001020502,101.15837
01001020503,104.16239
01073004901,245.89456
01073005104,235.075
01073011108,241.37434
01073005910,225.29062
01079979100,181.0793
01079979900,234.53685
01079979800,224.88849
01079979700,226.52365
01079979600,207.96751
01079979400,199.42358
01079979300,196.80643
01131035100,43.1644
01131034700,47.065098
01131035200,67.020805
01033020705,161.95953
01033020706,156.68204
01073012914,238.44287
01073014412,304.3323
01073012910,156.12367
01073012911,198.4861
01073012802,210.00809
01073012913,143.96634
01073011904,209.77452
01093964001,254.42868
01015002104,207.717
01093964002,220.41092
01077011401,195.89847
01093964701,166.48236
01077011605,177.1408
01093964702,174.25204
01077011503,171.75807
01093964402,157.11479
01093964401,175.15302
01077011606,189.26427
01077011402,204.15334
01077011504,185.86995
01077010902,177.66313
01077010901,183.98235
01095030205,250.66536
01095030203,304.3992
01095030501,313.32297
01095031002,275.44437
01095031001,278.73486
01123962302,182.89345
01123962301,173.52821
01123962702,110.80734
01123962701,159.28043
01077010600,171.94412
01029959700,305.53555
01029959500,330.5117
01029959800,332.4052
01029959600,323.90497
01017953900,200.94417
01047956202,91.07613
01089010705,234.66634
01089010625,219.6819
01089010404,268.43613
01073014209,169.6577
01073014208,183.18823
01073014206,165.22426
01073014205,183.8571
01073014207,165.3277
01073014303,202.52898
01073014106,161.41841
01073004502,187.3829
01073004501,191.80357
01073002701,181.56056
01073002402,184.45152
01073002401,195.80771
01073012917,158.32373
01073011115,233.7864
01073011114,225.93295
01073012918,157.53654
01073011709,183.43848
01073014304,219.19101
01073014415,205.50789
01073014414,199.20149
01073011116,304.96613
01073011117,287.88095
01073012003,179.7314
01073012804,188.33417
01073010806,245.59764
01073012916,194.68875
01101005611,72.485466
01101005608,75.07317
01101005503,70.672356
01101005501,55.17667
01101005504,67.87861
01101005502,72.74928
01101005612,73.68071
01101005610,59.75267
01133965502,197.08968
01133965501,232.51225
01133965503,206.6992
01073014408,138.90434
01073011301,164.12688
01073012703,178.29941
01059973702,279.4324
01019956101,243.30804
01019955802,240.4056
01019955801,218.4546
01019956102,218.36368
01121011301,131.53435
01121011302,147.93335
01121011502,201.94687
01121011501,153.40541
01071950601,290.16302
01071950301,315.81128
01049960102,456.59302
01049960701,329.62073
01049960402,381.73505
01049960303,387.65182
01049960602,336.59756
01049960702,341.37363
01049960101,446.24338
01049960302,376.51144
01103005602,296.2637
01103005703,224.37288
01103005704,226.13605
01103005601,260.16702
01103005202,190.40302
01073011805,248.96727
